"Country","doctors_density","nursing_density"
"Afghanistan",0.28,0.1755
"Algeria",1.79,2.2228
"Antigua and Barbuda",2.96,4.4969
"Argentina",3.99,2.5996
"Armenia",4.4,6.107
"Australia",3.68,12.5508
"Austria",5.17,7.0899
"Bangladesh",0.54,0.3163
"Barbados",2.48,3.0189
"Belgium",3.07,18.9734
"Belize",1.12,185.314
"Bhutan",0.4,1.6349
"Bosnia and Herzegovina",2.16,5.5647
"Brazil",2.17,9.737
"Burkina Faso",0.08,0.8829
"Burundi",0.1,0.8526
"Cabo Verde",0.78,1.28
"Cambodia",0.19,0.7007
"Canada",2.31,9.9491
"Chad",0.04,0.2322
"Chile",2.44,12.1372
"China",1.98,2.6621
"Colombia",2.11,1.2714
"Cook Islands",1.41,6.1143
"Costa Rica",2.95,3.1798
"Cuba",8.3,7.7286
"Czechia",4.07,8.3955
"Dominica",1.12,6.0979
"Dominican Republic",1.56,1.1697
"Ecuador",2.04,2.8265
"Egypt",0.8,1.9271
"El Salvador",1.57,1.8375
"Equatorial Guinea",0.4,0.5024
"Eritrea",0.06,1.3267
"Estonia",3.46,6.5272
"Eswatini",0.33,3.9394
"Ethiopia",0.1,0.8286
"France",3.26,11.162
"Gabon",0.68,2.946
"Georgia",6.13,4.8564
"Germany",4.25,13.2352
"Ghana",0.14,2.3519
"Greece",5.48,3.6331
"Grenada",1.41,3.0568
"Guatemala",0.36,0.0686
"Guyana",0.8,0.7869
"Honduras",0.31,0.7378
"Hungary",3.34,6.8037
"Iceland",3.98,15.7087
"India",0.78,2.1079
"Indonesia",0.38,2.0532
"Iraq",0.84,1.8126
"Ireland",3.29,16.0996
"Israel",3.48,5.7002
"Italy",3.98,6.0605
"Jamaica",1.31,1.4674
"Jordan",2.32,3.3598
"Kenya",0.2,1.0587
"Kuwait",2.65,7.3489
"Latvia",3.19,4.7517
"Lebanon",2.03,1.6418
"Libya",2.09,6.5305
"Lithuania",4.83,7.9795
"Luxembourg",3.01,12.1744
"Malaysia",1.54,3.4676
"Maldives",3.72,6.4927
"Mauritania",0.18,1.0673
"Mauritius",2.6,3.5152
"Mexico",2.38,2.5076
"Mongolia",2.86,3.8313
"Morocco",0.73,1.3887
"Mozambique",0.08,0.6842
"Namibia",0.59,2.0199
"Nepal",0.91,2.8479
"Netherlands",3.61,11.1839
"New Zealand",3.47,12.3207
"Nicaragua",1.01,1.5524
"Norway",2.83,18.1559
"Oman",1.96,4.2731
"Pakistan",1,0.5986
"Panama",1.57,3.0866
"Papua New Guinea",0.05,0.2253
"Paraguay",1.37,0.7387
"Peru",1.3,2.213
"Philippines",0.6,5.2744
"Poland",2.38,5.7029
"Portugal",5.12,6.9746
"Romania",2.98,7.3891
"Rwanda",0.14,1.1229
"Saint Lucia",0.64,3.1547
"Saint Vincent and the Grenadines",0.66,6.3115
"Sao Tome and Principe",0.05,0.0097
"Saudi Arabia",2.54,5.4627
"Senegal",0.07,0.3127
"Singapore",2.29,6.2432
"Slovakia",3.42,0.3187
"Slovenia",3.09,9.9745
"South Africa",0.91,1.3078
"Spain",3.87,5.7295
"Sri Lanka",0.93,1.9966
"Sudan",0.26,0.6952
"Suriname",1.23,1.9281
"Sweden",3.98,11.8164
"Switzerland",4.3,17.5357
"Thailand",0.81,2.9573
"Timor-Leste",0.75,1.7413
"Togo",0.03,0.4201
"Trinidad and Tobago",3.36,5.6441
"Tunisia",1.3,2.5136
"Turkey",1.85,2.7107
"Uganda",0.17,1.4686
"United Arab Emirates",2.44,5.6829
"Uruguay",5.08,1.9412
"Yemen",0.53,0.7682
"Zambia",0.16,1.2988
"Zimbabwe",0.19,2.5972
