"Country","doctors_density"
"Afghanistan",0.28
"Albania",1.22
"Algeria",1.79
"Andorra",3.33
"Angola",0.21
"Antigua and Barbuda",2.96
"Argentina",3.99
"Armenia",4.4
"Australia",3.68
"Austria",5.17
"Azerbaijan",3.45
"Bahamas, The",2.01
"Bahrain",0.93
"Bangladesh",0.54
"Barbados",2.48
"Belarus",5.19
"Belgium",3.07
"Belize",1.12
"Benin",0.05
"Bhutan",0.4
"Bolivia",1.59
"Bosnia and Herzegovina",2.16
"Botswana",0.53
"Brazil",2.17
"Brunei",1.61
"Bulgaria",4.03
"Burkina Faso",0.08
"Burma",0.86
"Burundi",0.1
"Cabo Verde",0.78
"Cambodia",0.19
"Cameroon",0.09
"Canada",2.31
"Central African Republic",0.07
"Chad",0.04
"Chile",2.44
"China",1.98
"Colombia",2.11
"Comoros",0.27
"Congo, Democratic Republic of the",0.07
"Congo, Republic of the",0.16
"Cook Islands",1.41
"Costa Rica",2.95
"Cote d'Ivoire",0.23
"Croatia",3
"Cuba",8.3
"Cyprus",1.95
"Czechia",4.07
"Denmark",4.01
"Djibouti",0.22
"Dominica",1.12
"Dominican Republic",1.56
"Ecuador",2.04
"Egypt",0.8
"El Salvador",1.57
"Equatorial Guinea",0.4
"Eritrea",0.06
"Estonia",3.46
"Eswatini",0.33
"Ethiopia",0.1
"Faroe Islands",2.62
"Fiji",0.86
"Finland",3.81
"France",3.26
"French Polynesia",2.13
"Gabon",0.68
"Gambia, The",0.1
"Gaza Strip",2.77
"Georgia",6.13
"Germany",4.25
"Ghana",0.14
"Greece",5.48
"Greenland",1.87
"Grenada",1.41
"Guatemala",0.36
"Guinea",0.08
"Guinea-Bissau",0.13
"Guyana",0.8
"Haiti",0.23
"Honduras",0.31
"Hong Kong",1.96
"Hungary",3.34
"Iceland",3.98
"India",0.78
"Indonesia",0.38
"Iran",1.13
"Iraq",0.84
"Ireland",3.29
"Israel",3.48
"Italy",3.98
"Jamaica",1.31
"Japan",2.41
"Jordan",2.32
"Kazakhstan",3.98
"Kenya",0.2
"Kiribati",0.2
"Korea, North",3.68
"Korea, South",2.36
"Kuwait",2.65
"Kyrgyzstan",2.21
"Laos",0.49
"Latvia",3.19
"Lebanon",2.03
"Lesotho",0.07
"Liberia",0.04
"Libya",2.09
"Lithuania",4.83
"Luxembourg",3.01
"Macau",2.41
"Madagascar",0.18
"Malawi",0.02
"Malaysia",1.54
"Maldives",3.72
"Mali",0.14
"Malta",2.86
"Marshall Islands",0.42
"Mauritania",0.18
"Mauritius",2.6
"Mexico",2.38
"Moldova",3.21
"Monaco",7.51
"Mongolia",2.86
"Montenegro",2.38
"Morocco",0.73
"Mozambique",0.08
"Namibia",0.59
"Nauru",1.35
"Nepal",0.91
"Netherlands",3.61
"New Caledonia",2.22
"New Zealand",3.47
"Nicaragua",1.01
"Niger",0.04
"Nigeria",0.45
"North Macedonia",2.87
"Norway",2.83
"Oman",1.96
"Pakistan",1
"Palau",1.42
"Panama",1.57
"Papua New Guinea",0.05
"Paraguay",1.37
"Peru",1.3
"Philippines",0.6
"Poland",2.38
"Portugal",5.12
"Puerto Rico",3.06
"Qatar",2.69
"Romania",2.98
"Russia",4.01
"Rwanda",0.14
"Saint Kitts and Nevis",2.68
"Saint Lucia",0.64
"Saint Vincent and the Grenadines",0.66
"Samoa",0.34
"San Marino",6.11
"Sao Tome and Principe",0.05
"Saudi Arabia",2.54
"Senegal",0.07
"Serbia",3.11
"Seychelles",2.12
"Sierra Leone",0.03
"Singapore",2.29
"Slovakia",3.42
"Slovenia",3.09
"Solomon Islands",0.19
"Somalia",0.02
"South Africa",0.91
"Spain",3.87
"Sri Lanka",0.93
"Sudan",0.26
"Suriname",1.23
"Sweden",3.98
"Switzerland",4.3
"Syria",1.29
"Tajikistan",2.1
"Tanzania",0.01
"Thailand",0.81
"Timor-Leste",0.75
"Togo",0.03
"Tokelau",2.72
"Tonga",0.54
"Trinidad and Tobago",3.36
"Tunisia",1.3
"Turkey",1.85
"Turkmenistan",2.22
"Tuvalu",0.91
"Uganda",0.17
"Ukraine",2.99
"United Arab Emirates",2.44
"United Kingdom",2.79
"United States",2.61
"Uruguay",5.08
"Uzbekistan",2.37
"Vanuatu",0.17
"Vietnam",0.83
"West Bank",1.45
"Yemen",0.53
"Zambia",0.16
"Zimbabwe",0.19
